NOVUS Program Words and Phrase List,,
,,
XML Tag,English,Armenian
submitMsg,Are you sure you want to submit your decisions for this round?,Հայաստան
submitCap,Submit?,Հայաստան
exitMsg,Are you sure you want to exit? All your decisions will be lost.,Հայաստան
exitCap,Exit?,Հայաստան
resetMsg,Are you sure you want to reset the game? All of your decisions will be lost.,Հայաստան
resetCap,Reset?,Հայաստան
resetSuccessMsg,Game successfully reset,Հայաստան
resetSuccessCap,Game Reset,Հայաստան
tmMsg,Teacher Mode Passcode,Հայաստան
tmCap,Teacher Mode  ,Հայաստան
pcFailMsg,Incorrect Passcode!,Հայաստան
vidFileFailMsg,This video file cannot be loaded locally or from YouTube.com!,Հայաստան
vidFileFailCap,Video File Not Found!,Հայաստան
file_lbl,File,Հայաստան
reset_lbl,Reset Game,Հայաստան
exit_lbl ,Exit Program,Հայաստան
languages_lbl,Languages,Հայաստան
help_lbl,Help,Հայաստան
about_lbl,About Novus,Հայաստան
tm_lbl,Teacher Mode,Հայաստան
yearSelect_lbl,Select Year,Հայաստան
yearsComplete_lbl,Current Year in Game,Հայաստան
year_lbl,Year,Հայաստան
complete_lbl,Game Complete,Հայաստան
lessonSelect_lbl,Select Training,Հայաստան
lessonList_lbl,Lesson List,Հայաստան
lesson_lbl,Lesson  ,Հայաստան
back_lbl,Back,Հայաստան
roundDecisions_lbl,Round Decisions,Հայաստան
y1l1_lbl,Lesson 1: The Vision and Mission Statements,Հայաստան
y1l2_lbl,Lesson 2: Market and SWOT Analysis,Հայաստան
y1l3_lbl,Lesson 3: Startup Capital & Financing,Հայաստան
y1l4_lbl,Lesson 4: Essential Economic Principles,Հայաստան
y1l5_lbl,Excel 1: Excel Basics,Հայաստան
y1l6_lbl,PowerPoint 1: PowerPoint Basics,Հայաստան
y2l1_lbl,Lesson 5: Market Research,Հայաստան
y2l2_lbl,Lesson 6: Forecasting,Հայաստան
y2l3_lbl,Lesson 7: Managerial Economics,Հայաստան
y2l4_lbl,Lesson 8: Placement and Promotion,Հայաստան
y2l5_lbl,Excel 2: Data Entry,Հայաստան
y2l6_lbl,Word 1: Word Basics,Հայաստան
y3l1_lbl,Lesson 9: Managing People,Հայաստան
y3l2_lbl,Lesson 10: Brands,Հայաստան
y3l3_lbl,Lesson 11: Understanding the Income Statement,Հայաստան
y3l4_lbl,Lesson 12: Supply Chain Management,Հայաստան
y3l5_lbl,Word 2: Advanced Formatting,Հայաստան
y3l6_lbl,PowerPoint 2: Slide Design,Հայաստան
y4l1_lbl,Lesson 13: The Balance Sheet and Key Financial Ratios,Հայաստան
y4l2_lbl,Lesson 14: Working Capital Management,Հայաստան
